best mass: 17885.7934 kg, success chance: 90.17%, delta vees: 3.368, 4.474, 15.000 km/s,ISOs generated:  3330
best mass: 8660.8550 kg, success chance: 90.05%, delta vees: 3.368, 3.684, 14.211 km/s,ISOs generated:  3500
best mass: 557247.3269 kg, success chance: 92.42%, delta vees: 3.404, 5.579, 16.674 km/s,ISOs generated:  3404
best mass: 13346.0024 kg, success chance: 90.97%, delta vees: 3.368, 4.211, 14.211 km/s,ISOs generated:  3360
best mass: 551487.3646 kg, success chance: 90.31%, delta vees: 3.800, 5.765, 14.797 km/s,ISOs generated:  3460
best mass:    nan kg, success chance: 0.00%, delta vees: nan, nan, nan km/s,ISOs generated:  3475
best mass: 16713.7388 kg, success chance: 90.55%, delta vees: 3.151, 4.413, 15.972 km/s,ISOs generated:  3424
best mass: 25501.1590 kg, success chance: 90.56%, delta vees: 3.158, 5.000, 11.842 km/s,ISOs generated:  3422
best mass: 6793.5465 kg, success chance: 90.34%, delta vees: 3.368, 3.421, 12.632 km/s,ISOs generated:  3456
best mass: 516602.8797 kg, success chance: 90.01%, delta vees: 3.499, 5.125, 15.785 km/s,ISOs generated:  3506
best mass:    nan kg, success chance: 0.00%, delta vees: nan, nan, nan km/s,ISOs generated:  3486
best mass: 13914.9841 kg, success chance: 90.14%, delta vees: 3.351, 4.321, 13.474 km/s,ISOs generated:  3486
best mass: 7576.1578 kg, success chance: 90.93%, delta vees: 3.368, 3.421, 15.000 km/s,ISOs generated:  3511
best mass: 544287.0608 kg, success chance: 90.43%, delta vees: 3.812, 5.401, 16.620 km/s,ISOs generated:  3442
best mass: 9239.4683 kg, success chance: 90.48%, delta vees: 3.875, 3.582, 16.223 km/s,ISOs generated:  3434
best mass:    nan kg, success chance: 0.00%, delta vees: nan, nan, nan km/s,ISOs generated:  3334
best mass: 10594.1539 kg, success chance: 90.36%, delta vees: 3.368, 3.947, 15.000 km/s,ISOs generated:  3453
best mass:    nan kg, success chance: 0.00%, delta vees: nan, nan, nan km/s,ISOs generated:  3507
best mass: 511828.8541 kg, success chance: 90.83%, delta vees: 3.444, 5.051, 15.827 km/s,ISOs generated:  3381
best mass: 517806.5417 kg, success chance: 90.72%, delta vees: 4.000, 5.033, 16.548 km/s,ISOs generated:  3397
best mass:    nan kg, success chance: 0.00%, delta vees: nan, nan, nan km/s,ISOs generated:  3380
best mass: 16015.6947 kg, success chance: 91.76%, delta vees: 3.368, 4.474, 13.421 km/s,ISOs generated:  3518
best mass: 531352.7396 kg, success chance: 90.22%, delta vees: 3.803, 5.399, 15.340 km/s,ISOs generated:  3323
===

best mass:    nan kg, success chance: 0.0%, delta vees: nan, nan, nan km/s,ISOs generated:  3446
best mass:    nan kg, success chance: 0.00%, delta vees:  nan,  nan,  nan km/s,ISOs generated:  3358
best mass:  24307 kg, success chance: 90.21%, delta vees: 3.321, 4.585, 16.096 km/s,ISOs generated:  3475
best mass:  27433 kg, success chance: 90.54%, delta vees: 3.368, 4.737, 15.000 km/s,ISOs generated:  3425
best mass: 519166 kg, success chance: 91.81%, delta vees: 4.000, 5.183, 15.637 km/s,ISOs generated:  3509
best mass:    nan kg, success chance: 0.00%, delta vees:  nan,  nan,  nan km/s,ISOs generated:  3533
best mass: 016951 kg, success chance: 90.36%, delta vees: 3.368, 4.474, 14.211 km/s,ISOs generated:  3453
best mass: 025507 kg, success chance: 90.57%, delta vees: 3.368, 4.737, 14.211 km/s,ISOs generated:  3420
best mass: 017254 kg, success chance: 90.83%, delta vees: 3.399, 4.382, 16.024 km/s,ISOs generated:  3381
best mass: 036980 kg, success chance: 91.64%, delta vees: 3.368, 5.000, 15.000 km/s,ISOs generated:  3397
best mass: 628373 kg, success chance: 90.02%, delta vees: 3.986, 6.257, 19.040 km/s,ISOs generated:  3504
best mass: 478303 kg, success chance: 90.97%, delta vees: 3.822, 4.393, 17.079 km/s,ISOs generated:  3359
best mass: 000nan kg, success chance: 0.00%, delta vees: 0nan, 0nan, 0nan km/s,ISOs generated:  3413
best mass: 029245 kg, success chance: 90.70%, delta vees: 3.433, 4.644, 16.576 km/s,ISOs generated:  3401
best mass: 013842 kg, success chance: 91.18%, delta vees: 3.158, 4.474, 11.053 km/s,ISOs generated:  3471
best mass: 537748 kg, success chance: 90.33%, delta vees: 3.685, 5.123, 17.913 km/s,ISOs generated:  3457
best mass: 027433 kg, success chance: 91.52%, delta vees: 3.368, 4.737, 15.000 km/s,ISOs generated:  3417
best mass: 000nan kg, success chance: 0.00%, delta vees: 0nan, 0nan, 0nan km/s,ISOs generated:  3500
best mass: 000nan kg, success chance: 0.00%, delta vees: 0nan, 0nan, 0nan km/s,ISOs generated:  3478
best mass: 022051 kg, success chance: 90.27%, delta vees: 3.368, 4.737, 12.632 km/s,ISOs generated:  3467
best mass: 569553 kg, success chance: 90.29%, delta vees: 3.156, 6.030, 14.748 km/s,ISOs generated:  3463
best mass: 533348 kg, success chance: 90.18%, delta vees: 3.730, 5.502, 14.821 km/s,ISOs generated:  3480
best mass: 562885 kg, success chance: 91.31%, delta vees: 3.493, 5.776, 15.858 km/s,ISOs generated:  3451
best mass: 000nan kg, success chance: 0.00%, delta vees: 0nan, 0nan, 0nan km/s,ISOs generated:  3524
best mass: 534803 kg, success chance: 90.22%, delta vees: 3.307, 5.498, 14.994 km/s,ISOs generated:  3474
best mass: 030756 kg, success chance: 90.76%, delta vees: 3.339, 4.800, 15.306 km/s,ISOs generated:  3392
best mass: 517493 kg, success chance: 90.46%, delta vees: 3.411, 5.221, 15.202 km/s,ISOs generated:  3438
best mass: 025507 kg, success chance: 90.66%, delta vees: 3.368, 4.737, 14.211 km/s,ISOs generated:  3407
best mass: 514920 kg, success chance: 90.76%, delta vees: 4.000, 5.280, 14.535 km/s,ISOs generated:  3392
best mass: 000nan kg, success chance: 0.00%, delta vees: 0nan, 0nan, 0nan km/s,ISOs generated:  3443
best mass: 000nan kg, success chance: 0.00%, delta vees: 0nan, 0nan, 0nan km/s,ISOs generated:  3359
best mass: 547408 kg, success chance: 90.56%, delta vees: 3.443, 5.540, 15.960 km/s,ISOs generated:  3422
best mass: 030828 kg, success chance: 90.50%, delta vees: 3.375, 4.841, 14.858 km/s,ISOs generated:  3431
best mass: 018812 kg, success chance: 90.19%, delta vees: 3.645, 4.436, 16.042 km/s,ISOs generated:  3479
best mass: 016099 kg, success chance: 90.21%, delta vees: 3.426, 4.288, 16.053 km/s,ISOs generated:  3475
best mass: 581206 kg, success chance: 90.64%, delta vees: 3.948, 6.228, 14.525 km/s,ISOs generated:  3410
best mass: 588013 kg, success chance: 90.74%, delta vees: 3.753, 6.150, 15.750 km/s,ISOs generated:  3395
best mass: 510981 kg, success chance: 90.51%, delta vees: 3.630, 5.086, 15.493 km/s,ISOs generated:  3579
best mass: 009901 kg, success chance: 90.54%, delta vees: 3.365, 3.906, 14.237 km/s,ISOs generated:  3425
best mass: 015946 kg, success chance: 90.02%, delta vees: 3.334, 4.411, 14.657 km/s,ISOs generated:  3505
best mass: 000nan kg, success chance: 0.00%, delta vees: 0nan, 0nan, 0nan km/s,ISOs generated:  3508
best mass: 532522 kg, success chance: 90.52%, delta vees: 3.770, 5.349, 15.806 km/s,ISOs generated:  3429
best mass: 584775 kg, success chance: 92.25%, delta vees: 3.439, 6.088, 15.864 km/s,ISOs generated:  3434
best mass: 014335 kg, success chance: 90.25%, delta vees: 3.330, 4.268, 14.770 km/s,ISOs generated:  3318
best mass: 036386 kg, success chance: 90.33%, delta vees: 3.553, 4.803, 16.157 km/s,ISOs generated:  3458
best mass: 000nan kg, success chance: 0.00%, delta vees: 0nan, 0nan, 0nan km/s,ISOs generated:  3477
best mass: 000nan kg, success chance: 0.00%, delta vees: 0nan, 0nan, 0nan km/s,ISOs generated:  3497
best mass: 011450 kg, success chance: 90.08%, delta vees: 3.294, 3.958, 15.984 km/s,ISOs generated:  3495
best mass: 000nan kg, success chance: 0.00%, delta vees: 0nan, 0nan, 0nan km/s,ISOs generated:  3436
best mass: 011793 kg, success chance: 90.63%, delta vees: 3.498, 3.991, 15.653 km/s,ISOs generated:  3411
best mass: 000nan kg, success chance: 0.00%, delta vees: 0nan, 0nan, 0nan km/s,ISOs generated:  3428
best mass: 534895 kg, success chance: 90.35%, delta vees: 4.000, 4.976, 18.660 km/s,ISOs generated:  3454
best mass: 025507 kg, success chance: 90.42%, delta vees: 3.368, 4.737, 14.211 km/s,ISOs generated:  3444
best mass: 007576 kg, success chance: 90.18%, delta vees: 3.368, 3.421, 15.000 km/s,ISOs generated:  3480
best mass: 000nan kg, success chance: 0.00%, delta vees: 0nan, 0nan, 0nan km/s,ISOs generated:  3513
