temperature_K,pressure_MPa,cp_J_per_gK,rho_kg_per_m3
0.8,2,7.01E-02,168.4
1,2,0.1979,168.4
1.2,2,0.5032,168.5
1.4,2,1.126,168.7
1.6,2,2.29,169.2
1.8,2,4.57,170.2
1.832,2,5.158,170.5
1.922,2,8.429,171.5
1.931,2,10.56,171.6
1.933,2,5.753,171.7
1.942,2,3.352,171.7
2.032,2,1.73,171.8
2.2,2,1.429,171.5
2.4,2,1.511,171
2.7,2,1.48,170.2
3,2,1.602,169.3
3.3,2,1.898,168.2
3.6,2,2.167,166.9
3.9,2,2.392,165.5
4.2,2,2.585,163.9
4.5,2,2.762,162.1
4.8,2,2.933,160.2
5,2,3.047,158.9
5.1,2,3.105,158.2
5.3,2,3.221,156.7
5.5,2,3.341,155.3
6,2,3.652,151.3
6.5,2,3.983,147
7,2,4.333,142.3
8,2,5.074,132.1
9,2,5.814,120.9
10,2,6.42,109.3
12,2,6.892,88.17
15,2,6.643,66.33
20,2,6.101,47.04
25,2,5.789,36.84
30,2,5.609,30.47
40,2,5.424,22.84
50,2,5.336,18.35
60,2,5.287,15.37
80,2,5.239,11.62
100,2,5.218,9.355
120,2,5.208,7.832
140,2,5.201,6.736
160,2,5.198,5.91
180,2,5.196,5.264
200,2,5.194,4.746
220,2,5.193,4.321
240,2,5.193,3.965
260,2,5.192,3.664
280,2,5.192,3.405
300,2,5.192,3.18
350,2,5.191,2.73
400,2,5.191,2.391
500,2,5.191,1.916
600,2,5.192,1.598
700,2,5.192,1.371
800,2,5.192,1.2
900,2,5.192,1.067
1000,2,5.192,0.9606
1100,2,5.192,0.8735
1200,2,5.192,0.8009
1300,2,5.192,0.7394
1400,2,5.192,0.6867
1500,2,5.192,0.641
0.8,2.2,7.60E-02,170
1,2.2,0.2068,170.1
1.2,2.2,0.5271,170.2
1.4,2.2,1.189,170.4
1.6,2.2,2.444,170.9
1.8,2.2,5.006,172.1
1.802,2.2,5.039,172.2
1.892,2.2,8.251,173.2
1.901,2.2,10.34,173.4
1.903,2.2,5.574,173.4
1.912,2.2,3.21,173.4
2.002,2.2,1.653,173.5
2.2,2.2,1.364,173.2
2.4,2.2,1.49,172.7
2.7,2.2,1.439,171.9
3,2.2,1.559,171
3.3,2.2,1.85,170
3.6,2.2,2.115,168.8
3.9,2.2,2.335,167.4
4.2,2.2,2.523,165.9
4.5,2.2,2.694,164.3
4.8,2.2,2.859,162.5
5,2.2,2.968,161.2
5.1,2.2,3.024,160.5
5.3,2.2,3.135,159.2
5.5,2.2,3.248,157.8
6,2.2,3.542,154.1
6.5,2.2,3.851,150
7,2.2,4.174,145.7
8,2.2,4.848,136.2
9,2.2,5.523,125.9
10,2.2,6.114,115.1
12,2.2,6.727,94.7
15,2.2,6.639,72.16
20,2.2,6.147,51.39
25,2.2,5.83,40.27
30,2.2,5.641,33.32
40,2.2,5.443,24.99
50,2.2,5.348,20.09
60,2.2,5.296,16.83
80,2.2,5.244,12.74
100,2.2,5.221,10.26
120,2.2,5.209,8.594
140,2.2,5.202,7.394
160,2.2,5.198,6.489
180,2.2,5.196,5.781
200,2.2,5.194,5.213
220,2.2,5.193,4.747
240,2.2,5.193,4.357
260,2.2,5.192,4.026
280,2.2,5.192,3.742
300,2.2,5.191,3.495
350,2.2,5.191,3.001
400,2.2,5.191,2.629
500,2.2,5.191,2.106
600,2.2,5.191,1.757
700,2.2,5.192,1.507
800,2.2,5.192,1.32
900,2.2,5.192,1.173
1000,2.2,5.192,1.056
1100,2.2,5.192,0.9607
1200,2.2,5.192,0.8808
1300,2.2,5.192,0.8132
1400,2.2,5.192,0.7552
1500,2.2,5.192,0.705
0.8,2.4,8.14E-02,171.7
1,2.4,0.2153,171.7
1.2,2.4,0.5538,171.8
1.4,2.4,1.263,172
1.6,2.4,2.629,172.6
1.771,2.4,4.922,173.8
1.861,2.4,8.108,174.9
1.87,2.4,10.26,175
1.872,2.4,5.377,175.1
1.881,2.4,3.072,175.1
1.971,2.4,1.579,175.2
2,2.4,1.481,175.2
2.2,2.4,1.31,174.9
2.4,2.4,1.472,174.4
2.7,2.4,1.402,173.5
3,2.4,1.519,172.7
3.3,2.4,1.806,171.7
3.6,2.4,2.067,170.5
3.9,2.4,2.282,169.3
4.2,2.4,2.466,167.8
4.5,2.4,2.633,166.3
4.8,2.4,2.793,164.6
5,2.4,2.898,163.4
5.1,2.4,2.952,162.7
5.3,2.4,3.059,161.5
5.5,2.4,3.167,160.1
6,2.4,3.448,156.6
6.5,2.4,3.74,152.8
7,2.4,4.042,148.7
8,2.4,4.666,139.9
9,2.4,5.29,130.3
10,2.4,5.855,120.2
12,2.4,6.55,100.6
15,2.4,6.614,77.68
20,2.4,6.183,55.64
25,2.4,5.866,43.65
30,2.4,5.671,36.13
40,2.4,5.462,27.11
50,2.4,5.36,21.81
60,2.4,5.304,18.28
80,2.4,5.248,13.85
100,2.4,5.223,11.16
120,2.4,5.21,9.353
140,2.4,5.203,8.05
160,2.4,5.199,7.066
180,2.4,5.196,6.297
200,2.4,5.194,5.679
220,2.4,5.193,5.171
240,2.4,5.192,4.747
260,2.4,5.192,4.387
280,2.4,5.192,4.078
300,2.4,5.191,3.809
350,2.4,5.191,3.271
400,2.4,5.191,2.866
500,2.4,5.191,2.297
600,2.4,5.191,1.916
700,2.4,5.191,1.644
800,2.4,5.192,1.439
900,2.4,5.192,1.28
1000,2.4,5.192,1.152
1100,2.4,5.192,1.048
1200,2.4,5.192,0.9607
1300,2.4,5.192,0.887
1400,2.4,5.192,0.8238
1500,2.4,5.192,0.7669
1.391,2.6,1.303,173.6
1.4,2.6,1.349,173.6
1.6,2.6,2.849,174.3
1.738,2.6,4.807,175.3
1.826,2.6,8.015,176.5
1.837,2.6,10.36,176.6
1.839,2.6,5.164,176.7
1.848,2.6,2.939,176.7
1.938,2.6,1.509,176.8
2,2.6,1.353,176.8
2.2,2.6,1.265,176.4
2.4,2.6,1.458,175.9
2.7,2.6,1.368,175
3,2.6,1.483,174.2
3.3,2.6,1.765,173.3
3.6,2.6,2.022,172.2
3.9,2.6,2.234,171
4.2,2.6,2.414,169.6
4.5,2.6,2.577,168.1
4.8,2.6,2.732,166.5
5,2.6,2.835,165.4
5.1,2.6,2.887,164.8
5.3,2.6,2.99,163.6
5.5,2.6,3.095,162.3
6,2.6,3.365,159
6.5,2.6,3.644,155.4
7,2.6,3.93,151.5
8,2.6,4.516,143.2
9,2.6,5.098,134.2
10,2.6,5.635,124.7
12,2.6,6.373,105.9
15,2.6,6.57,82.9
20,2.6,6.21,59.77
25,2.6,5.899,46.97
30,2.6,5.698,38.9
40,2.6,5.48,29.21
50,2.6,5.372,23.51
60,2.6,5.312,19.72
80,2.6,5.253,14.95
100,2.6,5.226,12.06
120,2.6,5.212,10.11
140,2.6,5.204,8.703
160,2.6,5.199,7.642
180,2.6,5.196,6.811
200,2.6,5.195,6.144
220,2.6,5.193,5.595
240,2.6,5.192,5.137
260,2.6,5.192,4.748
280,2.6,5.191,4.413
300,2.6,5.191,4.123
350,2.6,5.191,3.541
400,2.6,5.191,3.103
500,2.6,5.191,2.487
600,2.6,5.191,2.075
700,2.6,5.191,1.78
800,2.6,5.192,1.559
900,2.6,5.192,1.386
1000,2.6,5.192,1.248
1100,2.6,5.192,1.135
1200,2.6,5.192,1.041
1300,2.6,5.192,0.9607
1400,2.6,5.192,0.8923
1500,2.6,5.192,0.8329
1.656,2.8,3.854,176.3
1.705,2.8,4.691,176.8
1.795,2.8,7.976,178
1.804,2.8,10.6,178.2
1.806,2.8,4.959,178.2
1.815,2.8,2.81,178.3
1.905,2.8,1.442,178.4
2,2.8,1.258,178.3
2.2,2.8,1.228,177.9
2.4,2.8,1.446,177.4
2.7,2.8,1.338,176.5
3,2.8,1.449,175.7
3.3,2.8,1.727,174.9
3.6,2.8,1.98,173.8
3.9,2.8,2.189,172.7
4.2,2.8,2.366,171.4
4.5,2.8,2.525,169.9
4.8,2.8,2.677,168.4
5,2.8,2.777,167.3
5.1,2.8,2.827,166.7
5.3,2.8,2.928,165.6
5.5,2.8,3.03,164.4
6,2.8,3.291,161.2
6.5,2.8,3.559,157.7
7,2.8,3.834,154.1
8,2.8,4.39,146.2
9,2.8,4.938,137.6
10,2.8,5.449,128.7
12,2.8,6.204,110.7
15,2.8,6.514,87.82
20,2.8,6.229,63.79
25,2.8,5.927,50.22
30,2.8,5.724,41.63
40,2.8,5.497,31.29
50,2.8,5.384,25.2
60,2.8,5.32,21.15
80,2.8,5.257,16.05
100,2.8,5.228,12.95
120,2.8,5.213,10.86
140,2.8,5.205,9.354
160,2.8,5.2,8.215
180,2.8,5.197,7.323
200,2.8,5.195,6.607
220,2.8,5.193,6.018
240,2.8,5.192,5.525
260,2.8,5.192,5.108
280,2.8,5.191,4.748
300,2.8,5.191,4.436
350,2.8,5.191,3.81
400,2.8,5.191,3.339
500,2.8,5.191,2.677
600,2.8,5.191,2.234
700,2.8,5.191,1.916
800,2.8,5.191,1.678
900,2.8,5.192,1.492
1000,2.8,5.192,1.344
1100,2.8,5.192,1.222
1200,2.8,5.192,1.12
1300,2.8,5.192,1.034
1400,2.8,5.192,0.9608
1500,2.8,5.192,0.8969
1.762,3,8.313,179.5
1.769,3,10.7,179.7
1.771,3,4.808,179.7
1.78,3,2.689,179.8
1.87,3,1.379,179.9
2,3,1.187,179.8
2.2,3,1.196,179.4
2.4,3,1.436,178.8
2.7,3,1.31,177.9
3,3,1.418,177.2
3.3,3,1.691,176.3
3.6,3,1.94,175.4
3.9,3,2.146,174.2
4.2,3,2.32,173
4.5,3,2.477,171.6
4.8,3,2.626,170.2
5,3,2.724,169.1
5.1,3,2.773,168.6
5.3,3,2.872,167.5
5.5,3,2.971,166.3
6,3,3.225,163.2
6.5,3,3.484,159.9
7,3,3.749,156.5
8,3,4.28,148.9
9,3,4.801,140.8
10,3,5.289,132.3
12,3,6.045,115.1
15,3,6.447,92.44
20,3,6.24,67.69
25,3,5.951,53.41
30,3,5.747,44.32
40,3,5.513,33.34
50,3,5.395,26.87
60,3,5.328,22.57
80,3,5.261,17.14
100,3,5.231,13.84
120,3,5.215,11.61
140,3,5.206,10
160,3,5.2,8.786
180,3,5.197,7.834
200,3,5.195,7.069
220,3,5.193,6.44
240,3,5.192,5.913
260,3,5.192,5.467
280,3,5.191,5.083
300,3,5.191,4.749
350,3,5.191,4.079
400,3,5.19,3.575
500,3,5.191,2.867
600,3,5.191,2.392
700,3,5.191,2.053
800,3,5.191,1.797
900,3,5.191,1.599
1000,3,5.192,1.439
1100,3,5.192,1.309
1200,3,5.192,1.2
1300,3,5.192,1.108
1400,3,5.192,1.029
1500,3,5.192,0.9608
1.922,3.5,1.084,183.4
2,3.5,1.085,183.2
3,3.5,1.349,180.6
4,3.5,2.109,177.6
5,3.5,2.607,173.3
6,3.5,3.083,167.9
8,3.5,4.062,155
10,3.5,4.975,140.1
12,3.5,5.706,124.5
15,3.5,6.258,102.8
20,3.5,6.24,76.91
25,3.5,5.997,61.11
30,3.5,5.797,50.85
40,3.5,5.551,38.37
50,3.5,5.422,30.98
60,3.5,5.347,26.05
80,3.5,5.271,19.83
100,3.5,5.237,16.03
120,3.5,5.218,13.46
140,3.5,5.208,11.61
160,3.5,5.202,10.2
180,3.5,5.198,9.104
200,3.5,5.195,8.218
220,3.5,5.193,7.489
240,3.5,5.192,6.879
260,3.5,5.192,6.361
280,3.5,5.191,5.915
300,3.5,5.191,5.528
350,3.5,5.19,4.75
400,3.5,5.19,4.164
500,3.5,5.19,3.34
600,3.5,5.19,2.788
700,3.5,5.191,2.393
800,3.5,5.191,2.095
900,3.5,5.191,1.864
1000,3.5,5.191,1.678
1100,3.5,5.192,1.526
1200,3.5,5.192,1.4
1300,3.5,5.192,1.292
1400,3.5,5.192,1.2
1500,3.5,5.192,1.121
2.069,4,1.353,186.3
3,4,1.293,183.7
4,4,2.023,180.9
5,4,2.506,177
6,4,2.966,172.1
8,4,3.895,160.2
10,4,4.744,146.6
12,4,5.438,132.3
15,4,6.062,111.7
20,4,6.208,85.36
25,4,6.022,68.39
30,4,5.835,57.12
40,4,5.585,43.25
50,4,5.447,34.99
60,4,5.365,29.47
80,4,5.281,22.47
100,4,5.242,18.2
120,4,5.222,15.3
140,4,5.21,13.2
160,4,5.203,11.61
180,4,5.198,10.36
200,4,5.196,9.359
220,4,5.194,8.532
240,4,5.192,7.839
260,4,5.191,7.25
280,4,5.191,6.744
300,4,5.19,6.303
350,4,5.19,5.419
400,4,5.19,4.751
500,4,5.19,3.812
600,4,5.19,3.183
700,4,5.19,2.732
800,4,5.191,2.393
900,4,5.191,2.129
1000,4,5.191,1.917
1100,4,5.191,1.743
1200,4,5.192,1.599
1300,4,5.192,1.476
1400,4,5.192,1.371
1500,4,5.192,1.28
2.206,4.5,2.924,188.5
3,4.5,1.246,186.6
4,4.5,1.947,184
5,4.5,2.418,180.3
6,4.5,2.866,175.8
8,4.5,3.761,164.8
10,4.5,4.565,152.2
12,4.5,5.225,138.9
15,4.5,5.877,119.4
20,4.5,6.155,93.1
25,4.5,6.031,75.26
30,4.5,5.863,63.13
40,4.5,5.614,47.99
50,4.5,5.469,38.91
60,4.5,5.382,32.81
80,4.5,5.291,25.07
100,4.5,5.248,20.33
120,4.5,5.225,17.11
140,4.5,5.212,14.78
160,4.5,5.204,13.01
180,4.5,5.199,11.61
200,4.5,5.196,10.49
220,4.5,5.194,9.568
240,4.5,5.192,8.794
260,4.5,5.191,8.135
280,4.5,5.19,7.568
